Time,ag_id,x,y,speed,x_speed,y_speed,theta_delta,data_label
0.01,Helmet_1,-7.991089,-1.329348,0.0,0.0,0.0,0.0,Visitors-Group 3
0.01,Helmet_4,-7.022621,-2.826469,0.0,0.0,0.0,0.0,Visitors-Alone
0.01,Helmet_3,-0.547891,3.261695,0.0,0.0,0.0,0.0,Visitors-Alone
0.01,Helmet_10,-8.815566,-0.503038,0.0,0.0,0.0,0.0,Visitors-Group 3
0.01,Helmet_8,-6.637344,2.588899,0.0,0.0,0.0,0.0,Visitors-Alone
0.01,Helmet_5,-0.850613,-3.715043,0.0,0.0,0.0,0.0,Visitors-Alone
0.41,Helmet_1,-8.022132,-1.276519,0.153186,-0.077607,0.132073,2.102058,Visitors-Group 3
0.41,Helmet_3,-0.585848,3.2449,0.103766,-0.094891,-0.041988,-2.72501,Visitors-Alone
0.41,Helmet_10,-8.761078,-0.590716,0.258074,0.136219,-0.219195,-1.014754,Visitors-Group 3
0.41,Helmet_4,-6.97016,-2.796631,0.150882,0.131153,0.074595,0.517136,Visitors-Alone
0.41,Helmet_5,-0.780738,-3.709218,0.175295,0.174689,0.014564,0.083177,Visitors-Alone
0.41,Helmet_8,-6.634537,2.584751,0.012521,0.007017,-0.01037,-0.975872,Visitors-Alone
0.81,Helmet_1,-8.043419,-1.202754,0.191939,-0.053218,0.184414,1.85174,Visitors-Group 3
0.81,Helmet_3,-0.639968,3.220936,0.147971,-0.1353,-0.05991,-2.724748,Visitors-Alone
0.81,Helmet_4,-6.989771,-2.842003,0.123573,-0.049027,-0.113431,-1.978768,Visitors-Alone
0.81,Helmet_8,-6.652839,2.555384,0.086509,-0.045755,-0.073419,-2.128104,Visitors-Alone
0.81,Helmet_10,-8.684613,-0.690575,0.314433,0.191164,-0.249649,-0.917303,Visitors-Group 3
0.81,Helmet_5,-0.743276,-3.710085,0.093678,0.093653,-0.002169,-0.023153,Visitors-Alone
1.21,Helmet_5,-0.869694,-3.726802,0.318795,-0.316044,-0.041791,-3.010123,Visitors-Alone
1.21,Helmet_4,-7.061843,-2.917214,0.26042,-0.18018,-0.188026,-2.334888,Visitors-Alone
1.21,Helmet_8,-6.69595,2.517712,0.143127,-0.107776,-0.094179,-2.423422,Visitors-Alone
1.21,Helmet_3,-0.661772,3.211493,0.059402,-0.05451,-0.023608,-2.732893,Visitors-Alone
1.21,Helmet_1,-7.976748,-1.188365,0.170514,0.166676,0.035971,0.212555,Visitors-Group 3
1.21,Helmet_10,-8.674523,-0.694258,0.026853,0.025225,-0.009207,-0.349988,Visitors-Group 3
1.61,Helmet_8,-6.722091,2.521633,0.066085,-0.065354,0.009802,2.992711,Visitors-Alone
1.61,Helmet_3,-0.677054,3.221848,0.04615,-0.038205,0.025888,2.546063,Visitors-Alone
1.61,Helmet_5,-0.999025,-3.736473,0.32423,-0.323327,-0.024179,-3.066951,Visitors-Alone
1.61,Helmet_10,-8.696289,-0.680514,0.064358,-0.054416,0.034362,2.578351,Visitors-Group 3
1.61,Helmet_1,-7.912132,-1.196888,0.16294,0.161541,-0.021306,-0.131137,Visitors-Group 3
2.01,Helmet_5,-1.04012,-3.72366,0.107614,-0.102736,0.032033,2.839352,Visitors-Alone
2.01,Helmet_10,-8.710864,-0.675159,0.038816,-0.036435,0.013386,2.789501,Visitors-Group 3
2.01,Helmet_3,-0.68614,3.256924,0.090583,-0.022716,0.087689,1.824279,Visitors-Alone
2.01,Helmet_1,-7.916516,-1.136362,0.151711,-0.01096,0.151315,1.643102,Visitors-Group 3
2.01,Helmet_8,-6.730796,2.528915,0.028372,-0.021761,0.018205,2.444942,Visitors-Alone
2.41,Helmet_8,-6.733256,2.496976,0.080083,-0.006153,-0.079846,-1.647699,Visitors-Alone
2.41,Helmet_3,-0.65419,3.24324,0.086891,0.079874,-0.034209,-0.40465,Visitors-Alone
2.41,Helmet_10,-8.699712,-0.677167,0.028326,0.027877,-0.00502,-0.178164,Visitors-Group 3
2.41,Helmet_5,-1.016121,-3.69412,0.095148,0.059996,0.073849,0.888528,Visitors-Alone
2.41,Helmet_1,-7.952848,-1.141438,0.091711,-0.090829,-0.01269,-3.002778,Visitors-Group 3
2.81,Helmet_5,-0.899838,-3.601533,0.371603,0.290708,0.231469,0.672435,Visitors-Alone
2.81,Helmet_8,-6.721252,2.488406,0.036875,0.030013,-0.021425,-0.619974,Visitors-Alone
2.81,Helmet_3,-0.603801,3.133618,0.301623,0.125974,-0.274056,-1.139935,Visitors-Alone
2.81,Helmet_1,-8.046743,-1.286067,0.431089,-0.234738,-0.361574,-2.146618,Visitors-Group 3
2.81,Helmet_10,-8.66122,-0.686348,0.09893,0.096231,-0.022951,-0.234127,Visitors-Group 3
3.21,Helmet_5,-0.729343,-3.439081,0.588744,0.426236,0.40613,0.761247,Visitors-Alone
3.21,Helmet_10,-8.620578,-0.695535,0.10417,0.101606,-0.022969,-0.22232,Visitors-Group 3
3.21,Helmet_8,-6.6741,2.544075,0.182384,0.117879,0.139171,0.868044,Visitors-Alone
3.21,Helmet_3,-0.616978,2.974786,0.398442,-0.032942,-0.397078,-1.653569,Visitors-Alone
3.21,Helmet_1,-8.108799,-1.348512,0.22009,-0.155141,-0.156111,-2.353078,Visitors-Group 3
3.61,Helmet_8,-6.638332,2.605086,0.176806,0.089421,0.152526,1.040535,Visitors-Alone
3.61,Helmet_10,-8.595526,-0.689606,0.064357,0.062627,0.014821,0.232382,Visitors-Group 3
3.61,Helmet_3,-0.61603,2.905701,0.17273,0.002369,-0.172714,-1.557082,Visitors-Alone
3.61,Helmet_1,-7.769515,-1.382224,0.852388,0.848211,-0.084282,-0.09904,Visitors-Group 3
3.61,Helmet_5,-0.576342,-3.219286,0.669512,0.382502,0.549489,0.962688,Visitors-Alone
4.01,Helmet_6,7.481631,3.020987,0.0,0.0,0.0,0.0,Visitors-Group 2
4.01,Helmet_1,-7.298874,-1.407744,1.17833,1.176601,-0.063799,-0.05417,Visitors-Group 3
4.01,Helmet_10,-8.591713,-0.680696,0.024229,0.009534,0.022275,1.166386,Visitors-Group 3
4.01,Helmet_5,-0.388908,-2.906208,0.912239,0.468586,0.782692,1.031344,Visitors-Alone
4.01,Helmet_7,-8.03895,0.484525,0.0,0.0,0.0,0.0,Visitors-Group 3
4.01,Helmet_3,-0.526191,2.89754,0.225524,0.224599,-0.020403,-0.090591,Visitors-Alone
4.01,Helmet_8,-6.635619,2.623411,0.046313,0.006782,0.045814,1.423819,Visitors-Alone
4.41,Helmet_6,7.470019,3.009794,0.040322,-0.02903,-0.027984,-2.374543,Visitors-Group 2
4.41,Helmet_7,-7.966668,0.47726,0.181617,0.180706,-0.018162,-0.100172,Visitors-Group 3
4.41,Helmet_5,-0.083044,-2.584396,1.109943,0.76466,0.80453,0.810801,Visitors-Alone
4.41,Helmet_8,-6.640617,2.568958,0.136706,-0.012496,-0.136133,-1.662334,Visitors-Alone
4.41,Helmet_10,-8.59929,-0.623182,0.145029,-0.018944,0.143786,1.701791,Visitors-Group 3
4.41,Helmet_3,-0.462219,2.859114,0.186566,0.159931,-0.096066,-0.540914,Visitors-Alone
4.41,Helmet_1,-7.074403,-1.406662,0.561185,0.561179,0.002704,0.004818,Visitors-Group 3
4.81,Helmet_6,7.286307,2.86746,0.580995,-0.45928,-0.355833,-2.482432,Visitors-Group 2
4.81,Helmet_10,-8.571173,-0.511138,0.288797,0.070294,0.280111,1.324924,Visitors-Group 3
4.81,Helmet_3,-0.476016,2.825166,0.091611,-0.034495,-0.084869,-1.956852,Visitors-Alone
4.81,Helmet_7,-7.888216,0.469459,0.197095,0.196127,-0.019503,-0.099112,Visitors-Group 3
4.81,Helmet_8,-6.603312,2.395701,0.443069,0.093262,-0.433143,-1.358718,Visitors-Alone
4.81,Helmet_1,-6.937569,-1.456485,0.364054,0.342084,-0.124556,-0.34919,Visitors-Group 3
4.81,Helmet_5,0.341937,-2.317685,1.254351,1.062451,0.666779,0.560456,Visitors-Alone
5.21,Helmet_5,0.82078,-2.07475,1.34236,1.19711,0.607338,0.4695,Visitors-Alone
5.21,Helmet_7,-7.913546,0.493446,0.087212,-0.063324,0.059968,2.38341,Visitors-Group 3
5.21,Helmet_1,-6.870221,-1.50277,0.2043,0.168371,-0.115714,-0.60212,Visitors-Group 3
5.21,Helmet_10,-8.438392,-0.422497,0.399124,0.331952,0.221602,0.58863,Visitors-Group 3
5.21,Helmet_3,-0.640834,2.710166,0.50243,-0.412044,-0.2875,-2.532384,Visitors-Alone
5.21,Helmet_6,6.92867,2.552288,1.191736,-0.894091,-0.787931,-2.419225,Visitors-Group 2
5.21,Helmet_8,-6.425457,2.167212,0.723877,0.444637,-0.571223,-0.909368,Visitors-Alone
5.61,Helmet_1,-6.965578,-1.557248,0.274554,-0.238393,-0.136195,-2.622539,Visitors-Group 3
5.61,Helmet_5,1.333466,-1.882056,1.369256,1.281715,0.481734,0.359516,Visitors-Alone
5.61,Helmet_10,-8.195704,-0.422745,0.606719,0.606719,-0.000621,-0.001024,Visitors-Group 3
5.61,Helmet_3,-0.956769,2.483078,0.972703,-0.789837,-0.567721,-2.518372,Visitors-Alone
5.61,Helmet_6,6.559494,2.166586,1.334768,-0.92294,-0.964255,-2.334306,Visitors-Group 2
5.61,Helmet_8,-6.084984,2.048584,0.901369,0.851184,-0.296568,-0.335265,Visitors-Alone
5.61,Helmet_7,-7.86303,0.500596,0.12755,0.126291,0.017874,0.140594,Visitors-Group 3
6.01,Helmet_7,-7.65448,0.393454,0.586153,0.521374,-0.267853,-0.474582,Visitors-Group 3
6.01,Helmet_5,1.850945,-1.700884,1.370692,1.293696,0.45293,0.336769,Visitors-Alone
6.01,Helmet_8,-5.609485,2.093801,1.194109,1.188746,0.113041,0.094808,Visitors-Alone
6.01,Helmet_6,6.162115,1.82563,1.309011,-0.993449,-0.85239,-2.432466,Visitors-Group 2
6.01,Helmet_2,5.685606,0.527133,0.0,0.0,0.0,0.0,Visitors-Group 2
6.01,Helmet_3,-1.333813,2.206858,1.168492,-0.94261,-0.69055,-2.509325,Visitors-Alone
6.01,Helmet_10,-7.893597,-0.486461,0.771884,0.755269,-0.15929,-0.207859,Visitors-Group 3
6.01,Helmet_1,-7.01823,-1.590055,0.15509,-0.131629,-0.082018,-2.584363,Visitors-Group 3
6.01,Helmet_4,-7.204824,-3.005516,0.0,0.0,0.0,0.0,Visitors-Alone
6.41,Helmet_10,-7.538942,-0.53158,0.893785,0.886639,-0.112796,-0.126538,Visitors-Group 3
6.41,Helmet_7,-7.389765,0.283739,0.716378,0.661788,-0.27429,-0.392916,Visitors-Group 3
6.41,Helmet_6,5.781829,1.527366,1.208249,-0.950715,-0.745659,-2.47649,Visitors-Group 2
6.41,Helmet_2,5.544549,0.451766,0.399822,-0.352642,-0.188416,-2.650884,Visitors-Group 2
6.41,Helmet_4,-7.19603,-2.998255,0.028512,0.021986,0.018153,0.690175,Visitors-Alone
6.41,Helmet_1,-6.799695,-1.501756,0.589248,0.546336,0.220747,0.383993,Visitors-Group 3
6.41,Helmet_3,-1.75246,1.937055,1.245138,-1.046619,-0.674506,-2.56912,Visitors-Alone
6.41,Helmet_5,2.349116,-1.489214,1.353187,1.245426,0.529176,0.401782,Visitors-Alone
6.41,Helmet_8,-5.035942,2.150374,1.440815,1.433856,0.141432,0.09832,Visitors-Alone
6.81,Helmet_3,-2.180366,1.675068,1.254344,-1.069765,-0.654966,-2.592213,Visitors-Alone
6.81,Helmet_4,-7.147583,-2.890758,0.294774,0.121116,0.268743,1.147379,Visitors-Alone
6.81,Helmet_7,-7.009655,0.28154,0.95029,0.950274,-0.005497,-0.005785,Visitors-Group 3
6.81,Helmet_8,-4.414518,2.199764,1.55846,1.553561,0.123475,0.079312,Visitors-Alone
6.81,Helmet_5,2.881197,-1.302,1.410141,1.330204,0.468035,0.338324,Visitors-Alone
6.81,Helmet_2,5.153698,0.26742,1.080359,-0.977128,-0.460865,-2.700879,Visitors-Group 2
6.81,Helmet_1,-6.413618,-1.428456,0.982436,0.965194,0.183251,0.187626,Visitors-Group 3
6.81,Helmet_10,-7.178295,-0.639001,0.940762,0.901616,-0.268554,-0.289491,Visitors-Group 3
6.81,Helmet_6,5.427447,1.234128,1.149933,-0.885955,-0.733096,-2.450328,Visitors-Group 2
7.21,Helmet_4,-7.114365,-2.66347,0.574256,0.083045,0.56822,1.425674,Visitors-Alone
7.21,Helmet_3,-2.616158,1.426448,1.25431,-1.08948,-0.621551,-2.623145,Visitors-Alone
7.21,Helmet_2,4.629407,0.061882,1.407851,-1.310727,-0.513845,-2.767975,Visitors-Group 2
7.21,Helmet_1,-6.040708,-1.534642,0.969332,0.932274,-0.265464,-0.277407,Visitors-Group 3
7.21,Helmet_5,3.429116,-1.151264,1.420689,1.369799,0.376841,0.268466,Visitors-Alone
7.21,Helmet_8,-3.761286,2.258889,1.639757,1.633081,0.147812,0.090265,Visitors-Alone
7.21,Helmet_10,-6.860332,-0.830596,0.928067,0.794909,-0.478987,-0.542306,Visitors-Group 3
7.21,Helmet_6,5.002458,1.004938,1.207126,-1.062474,-0.572976,-2.647013,Visitors-Group 2
7.21,Helmet_7,-6.5988,0.29871,1.028036,1.02714,0.042925,0.041766,Visitors-Group 3
7.61,Helmet_7,-6.217676,0.261546,0.957328,0.952809,-0.092911,-0.097205,Visitors-Group 3
7.61,Helmet_6,4.527834,0.752013,1.344523,-1.186559,-0.632312,-2.651976,Visitors-Group 2
7.61,Helmet_10,-6.52184,-0.997028,0.942989,0.84623,-0.41608,-0.456975,Visitors-Group 3
7.61,Helmet_8,-3.079859,2.283149,1.704647,1.703567,0.06065,0.035587,Visitors-Alone
7.61,Helmet_5,3.972352,-1.033492,1.389638,1.358089,0.29443,0.213493,Visitors-Alone
7.61,Helmet_2,4.098284,-0.192166,1.471887,-1.327808,-0.635121,-2.695436,Visitors-Group 2
7.61,Helmet_1,-5.718827,-1.798205,1.040051,0.804703,-0.658908,-0.686113,Visitors-Group 3
7.61,Helmet_4,-7.18231,-2.400047,0.680111,-0.169863,0.658558,1.823226,Visitors-Alone
7.61,Helmet_3,-3.065919,1.231722,1.225261,-1.1244,-0.486815,-2.733003,Visitors-Alone
8.01,Helmet_2,3.552922,-0.471254,1.531562,-1.363404,-0.697719,-2.668591,Visitors-Group 2
8.01,Helmet_5,4.537248,-0.918477,1.441216,1.412241,0.287536,0.200857,Visitors-Alone
8.01,Helmet_4,-7.292208,-2.098851,0.801547,-0.274744,0.75299,1.920657,Visitors-Alone
8.01,Helmet_8,-2.39525,2.323166,1.714444,1.711523,0.100044,0.058387,Visitors-Alone
8.01,Helmet_6,4.018392,0.476389,1.44806,-1.273606,-0.68906,-2.645662,Visitors-Group 2
8.01,Helmet_1,-5.356802,-2.033375,1.079256,0.905062,-0.587925,-0.576091,Visitors-Group 3
8.01,Helmet_10,-6.195266,-1.169388,0.92317,0.816435,-0.430901,-0.485627,Visitors-Group 3
8.01,Helmet_7,-5.800866,0.228607,1.045275,1.042026,-0.082348,-0.078862,Visitors-Group 3
8.01,Helmet_3,-3.503174,1.040114,1.193486,-1.093138,-0.47902,-2.728589,Visitors-Alone
8.41,Helmet_3,-3.942128,0.881212,1.167076,-1.097385,-0.397255,-2.794266,Visitors-Alone
8.41,Helmet_5,5.129414,-0.790234,1.514731,1.480413,0.320608,0.213273,Visitors-Alone
8.41,Helmet_6,3.478503,0.217128,1.497281,-1.349721,-0.648152,-2.6939,Visitors-Group 2
8.41,Helmet_7,-5.43078,0.216149,0.925739,0.925215,-0.031144,-0.033648,Visitors-Group 3
8.41,Helmet_8,-1.722496,2.317854,1.681937,1.681885,-0.013281,-0.007896,Visitors-Alone
8.41,Helmet_1,-5.078328,-2.225287,0.845496,0.696185,-0.479781,-0.603412,Visitors-Group 3
8.41,Helmet_10,-5.910706,-1.386156,0.894297,0.7114,-0.54192,-0.650989,Visitors-Group 3
8.41,Helmet_2,3.019964,-0.725429,1.476165,-1.332396,-0.635439,-2.696584,Visitors-Group 2
8.41,Helmet_4,-7.285387,-1.823572,0.68841,0.017051,0.688199,1.546025,Visitors-Alone
8.81,Helmet_8,-1.068526,2.293083,1.636097,1.634925,-0.061929,-0.037861,Visitors-Alone
8.81,Helmet_10,-5.55878,-1.561086,0.98251,0.879815,-0.437324,-0.461295,Visitors-Group 3
