Time,ag_id,x,y,speed,x_speed,y_speed,theta_delta,data_label
0.01,Helmet_10,-7.680855,-3.346281,0.0,0.0,0.0,0.0,Visitors-Group 3
0.01,Helmet_5,-7.608103,-2.361336,0.0,0.0,0.0,0.0,Visitors-Group 3
0.01,Helmet_7,-0.562624,3.118997,0.0,0.0,0.0,0.0,Visitors-Group 2
0.01,Helmet_8,-0.516957,-3.393754,0.0,0.0,0.0,0.0,Visitors-Alone
0.01,Helmet_1,-1.737087,-3.181006,0.0,0.0,0.0,0.0,Visitors-Alone
0.01,Helmet_4,-0.713404,2.489321,0.0,0.0,0.0,0.0,Visitors-Group 2
0.41,Helmet_8,-0.49209,-3.38037,0.070599,0.062168,0.033459,0.493741,Visitors-Alone
0.41,Helmet_7,-0.478672,3.129098,0.211395,0.209881,0.025251,0.119737,Visitors-Group 2
0.41,Helmet_10,-7.680515,-3.347378,0.00287,0.00085,-0.002741,-1.27012,Visitors-Group 3
0.41,Helmet_5,-7.608886,-2.359324,0.005397,-0.001959,0.005029,1.942227,Visitors-Group 3
0.41,Helmet_4,-0.705817,2.498572,0.029911,0.018969,0.023128,0.88387,Visitors-Group 2
0.41,Helmet_1,-1.72262,-3.18166,0.036203,0.036166,-0.001635,-0.045177,Visitors-Alone
0.81,Helmet_4,-0.599696,2.501476,0.265402,0.265302,0.00726,0.027358,Visitors-Group 2
0.81,Helmet_10,-7.677446,-3.351599,0.013048,0.007672,-0.010554,-0.942183,Visitors-Group 3
0.81,Helmet_8,-0.452643,-3.361612,0.1092,0.098618,0.046896,0.443886,Visitors-Alone
0.81,Helmet_7,-0.375596,3.138866,0.258843,0.257689,0.02442,0.094483,Visitors-Group 2
0.81,Helmet_5,-7.610327,-2.357589,0.005639,-0.003601,0.004339,2.263576,Visitors-Group 3
0.81,Helmet_1,-1.650973,-3.239032,0.229468,0.179119,-0.14343,-0.6752,Visitors-Alone
1.21,Helmet_5,-7.609746,-2.360076,0.006386,0.001451,-0.006219,-1.341533,Visitors-Group 3
1.21,Helmet_1,-1.449535,-3.466497,0.759593,0.503594,-0.568661,-0.846007,Visitors-Alone
1.21,Helmet_8,-0.425683,-3.350156,0.073233,0.0674,0.028641,0.401824,Visitors-Alone
1.21,Helmet_10,-7.676156,-3.35882,0.018337,0.003225,-0.018051,-1.394004,Visitors-Group 3
1.21,Helmet_7,-0.349349,3.139182,0.065622,0.065617,0.00079,0.012039,Visitors-Group 2
1.21,Helmet_4,-0.377288,2.512579,0.556711,0.556019,0.027759,0.049883,Visitors-Group 2
1.61,Helmet_10,-7.672051,-3.358606,0.010275,0.010261,0.000535,0.052091,Visitors-Group 3
1.61,Helmet_8,-0.417558,-3.323557,0.069529,0.020311,0.066496,1.274347,Visitors-Alone
1.61,Helmet_7,-0.337884,3.145024,0.032171,0.028664,0.014607,0.471311,Visitors-Group 2
1.61,Helmet_4,-0.295848,2.579211,0.263061,0.2036,0.166578,0.685717,Visitors-Group 2
1.61,Helmet_1,-1.171432,-3.736034,0.968221,0.69526,-0.673844,-0.769757,Visitors-Alone
1.61,Helmet_5,-7.610052,-2.363771,0.009268,-0.000764,-0.009236,-1.653299,Visitors-Group 3
2.01,Helmet_8,-0.445164,-3.256112,0.182191,-0.069015,0.168614,1.959301,Visitors-Alone
2.01,Helmet_1,-0.98326,-3.855988,0.557883,0.470428,-0.299885,-0.567519,Visitors-Alone
2.01,Helmet_10,-7.661834,-3.345706,0.04114,0.025544,0.032249,0.9009,Visitors-Group 3
2.01,Helmet_7,-0.334373,3.15669,0.030456,0.008776,0.029164,1.278486,Visitors-Group 2
2.01,Helmet_4,-0.39149,2.69203,0.36976,-0.239104,0.28205,2.273974,Visitors-Group 2
2.01,Helmet_5,-7.613032,-2.365284,0.008355,-0.00745,-0.003782,-2.67179,Visitors-Group 3
2.41,Helmet_8,-0.479082,-3.15294,0.271509,-0.084792,0.257929,1.888411,Visitors-Alone
2.41,Helmet_10,-7.658435,-3.334284,0.029793,0.008498,0.028555,1.281558,Visitors-Group 3
2.41,Helmet_1,-0.910362,-3.877096,0.189732,0.182246,-0.052769,-0.281839,Visitors-Alone
2.41,Helmet_5,-7.61918,-2.362503,0.016869,-0.01537,0.006952,2.716793,Visitors-Group 3
2.41,Helmet_7,-0.337834,3.162092,0.016038,-0.008651,0.013505,2.140532,Visitors-Group 2
2.41,Helmet_4,-0.438316,2.748482,0.183363,-0.117066,0.141129,2.263268,Visitors-Group 2
2.81,Helmet_4,-0.419715,2.723006,0.07886,0.046503,-0.06369,-0.940128,Visitors-Group 2
2.81,Helmet_8,-0.469458,-3.053296,0.25027,0.024057,0.249111,1.474522,Visitors-Alone
2.81,Helmet_1,-0.890812,-3.871874,0.050588,0.048875,0.013054,0.260992,Visitors-Alone
2.81,Helmet_10,-7.668407,-3.339306,0.027914,-0.024931,-0.012555,-2.675081,Visitors-Group 3
2.81,Helmet_7,-0.34348,3.156286,0.020247,-0.014115,-0.014516,-2.342181,Visitors-Group 2
2.81,Helmet_5,-7.615804,-2.378402,0.040632,0.008439,-0.039746,-1.361587,Visitors-Group 3
3.21,Helmet_7,-0.35686,3.151024,0.035945,-0.033451,-0.013155,-2.766911,Visitors-Group 2
3.21,Helmet_1,-0.899804,-3.856275,0.045012,-0.022479,0.038997,2.093693,Visitors-Alone
3.21,Helmet_8,-0.409463,-2.986248,0.224929,0.149989,0.16762,0.840854,Visitors-Alone
3.21,Helmet_10,-7.69348,-3.366834,0.093088,-0.062683,-0.06882,-2.309556,Visitors-Group 3
3.21,Helmet_4,-0.38833,2.70009,0.097154,0.078464,-0.057291,-0.630683,Visitors-Group 2
3.21,Helmet_5,-7.589168,-2.412074,0.107336,0.06659,-0.084183,-0.901555,Visitors-Group 3
3.61,Helmet_7,-0.406684,3.148176,0.124765,-0.124561,-0.00712,-3.084494,Visitors-Group 2
3.61,Helmet_5,-7.59403,-2.403079,0.025563,-0.012154,0.022489,2.066268,Visitors-Group 3
3.61,Helmet_8,-0.318215,-2.926693,0.272408,0.22812,0.148886,0.578247,Visitors-Alone
3.61,Helmet_10,-7.715728,-3.382117,0.06748,-0.05562,-0.038209,-2.539672,Visitors-Group 3
3.61,Helmet_1,-0.962243,-3.774046,0.258121,-0.156099,0.205571,2.220249,Visitors-Alone
3.61,Helmet_4,-0.356004,2.706215,0.082251,0.080812,0.015314,0.187277,Visitors-Group 2
4.01,Helmet_10,-7.696848,-3.337084,0.122078,0.0472,0.112584,1.173812,Visitors-Group 3
4.01,Helmet_8,-0.237862,-2.867445,0.249586,0.200883,0.14812,0.635354,Visitors-Alone
4.01,Helmet_7,-0.508177,3.129488,0.257997,-0.253731,-0.04672,-2.9595,Visitors-Group 2
4.01,Helmet_1,-1.130855,-3.589755,0.624467,-0.421531,0.460729,2.311795,Visitors-Alone
4.01,Helmet_5,-7.651573,-2.383678,0.151814,-0.143857,0.048503,2.816405,Visitors-Group 3
4.01,Helmet_4,-0.336857,2.722116,0.062223,0.047869,0.039752,0.693033,Visitors-Group 2
4.41,Helmet_3,9.142838,-0.130565,0.0,0.0,0.0,0.0,Visitors-Alone
4.41,Helmet_5,-7.642532,-2.332414,0.130137,0.022604,0.128159,1.396219,Visitors-Group 3
4.41,Helmet_7,-0.611042,3.102508,0.265859,-0.257161,-0.067448,-2.885093,Visitors-Group 2
4.41,Helmet_1,-1.374038,-3.41056,0.755184,-0.607956,0.447988,2.506545,Visitors-Alone
4.41,Helmet_4,-0.328981,2.734492,0.036673,0.01969,0.030939,1.004028,Visitors-Group 2
4.41,Helmet_10,-7.679008,-3.270444,0.172467,0.044602,0.1666,1.309209,Visitors-Group 3
4.41,Helmet_8,-0.19725,-2.839126,0.123775,0.101529,0.070797,0.608922,Visitors-Alone
4.81,Helmet_10,-7.693088,-3.239348,0.085337,-0.035201,0.077739,1.995989,Visitors-Group 3
4.81,Helmet_3,9.142838,-0.130565,0.0,0.0,0.0,0.0,Visitors-Alone
4.81,Helmet_4,-0.323658,2.739372,0.018053,0.013306,0.012201,0.742105,Visitors-Group 2
4.81,Helmet_8,-0.177408,-2.818886,0.070858,0.049605,0.050599,0.795315,Visitors-Alone
4.81,Helmet_1,-1.530116,-3.318272,0.453304,-0.390195,0.230721,2.607597,Visitors-Alone
4.81,Helmet_7,-0.669982,3.095302,0.148447,-0.14735,-0.018017,-3.01992,Visitors-Group 2
4.81,Helmet_5,-7.498138,-2.147738,0.586061,0.360984,0.461691,0.907207,Visitors-Group 3
5.21,Helmet_5,-7.278357,-1.89281,0.841471,0.549453,0.637319,0.859301,Visitors-Group 3
5.21,Helmet_10,-7.705872,-3.23767,0.032236,-0.031961,0.004198,3.011009,Visitors-Group 3
5.21,Helmet_8,-0.18678,-2.744427,0.187617,-0.023429,0.186149,1.695998,Visitors-Alone
